"zeta.seq","ML","ML.sd","ML.lci","ML.uci","S","S.sd","S.lci","S.uci"
0.33,1.95183493650076,0.181247880254757,1.3682384066689,2.78435366291164,1.90174572261854,0.181247880254757,1.34459072762013,2.68976776293794
0.34,1.95823673554772,0.182369487472857,1.3697116567599,2.79963384521358,1.90770053543443,0.182369487472857,1.34623269035901,2.70333751286807
0.35,1.95847077275102,0.183577196592633,1.36663654616556,2.80660412490923,1.91392209921378,0.183577196592633,1.34793655212802,2.71755951426338
0.36,1.96604455495522,0.184764690714219,1.36873217328327,2.82402303936282,1.92042875584716,0.184764690714219,1.34970572924961,2.732481996898
0.37,1.96846733233609,0.186053367866604,1.3669618301981,2.83465386733794,1.92724056885843,0.186053367866604,1.35154387633578,2.74815806966152
0.38,1.9718331172244,0.187398768679148,1.36569306517345,2.84699830535429,1.9343795303191,0.187398768679148,1.35345490459254,2.76464635402392
0.39,1.97767868767023,0.18876218459428,1.36608624378491,2.8630791133864,1.94186979834709,0.18876218459428,1.35544300123465,2.78201171889763
0.4,1.98341241913723,0.190177423673047,1.3662517684504,2.8793557053175,1.94973797059882,0.190177423673047,1.35751264991151,2.8003261363661
0.41,1.98922039305836,0.191645103936897,1.36631644982726,2.89610636881341,1.95801340028489,0.191645103936897,1.35966865196045,2.81966968214451
0.42,1.99282271895993,0.193181263611769,1.36467568737874,2.91009975918233,1.96672856263005,0.193181263611769,1.36191614818187,2.84013171018537
0.43,1.9982060256261,0.194785568840399,1.36406617809881,2.92715073869328,1.97591948143097,0.194785568840399,1.36426064065806,2.86181223788379
0.44,2.00300565269424,0.196474083192851,1.36282489712657,2.94390838704532,1.98562622753605,0.196474083192851,1.36670801389209,2.88482358733747
0.45,2.00844367258943,0.198210754940305,1.36188129665466,2.96196591866949,1.99589350380805,0.198210754940305,1.36926455419617,2.90929233969818
0.46,2.0137550944861,0.200053144864052,1.36056087309967,2.98054255472597,2.00677133460013,0.200053144864052,1.37193696576679,2.93536167466846
0.47,2.01881467711983,0.201970149934446,1.35886399351561,2.99927933921492,2.0183158822052,0.201970149934446,1.37473238118583,2.96319418681906
0.48,2.02423632582635,0.203981171094812,1.3571533906263,3.01921118946183,2.03059041843018,0.203981171094812,1.37765836309266,2.99297529625864
0.49,2.02975993910534,0.20613061845289,1.35513559209883,3.04023112847032,2.04366648681529,0.20613061845289,1.38072289235102,3.02491740556304
0.5,2.034862407611,0.208390236409121,1.35253869360485,3.06140226337817,2.05762530063009,0.208390236409121,1.38393433599052,3.0592650010109
